Word, suny_c, gutenberg_c, suny_ws, gutenberg_ws, total
|?|, |101|, |95|, |0|, |0|, |196|
|_sous|, |1|, |0|, |1|, |0|, |2|
|your--in|, |0|, |0|, |1|, |0|, |1|
|Count,|, |0|, |0|, |1|, |0|, |1|
|Parisienne|, |2|, |2|, |1|, |1|, |6|
|appealed|, |2|, |1|, |2|, |1|, |6|
|discrimination|, |1|, |0|, |1|, |0|, |2|
|flower-pots|, |1|, |1|, |1|, |1|, |4|
|momentary|, |1|, |1|, |1|, |1|, |4|
|things"--and|, |0|, |0|, |1|, |0|, |1|
|particular|, |4|, |2|, |1|, |1|, |8|
|country."|, |0|, |0|, |1|, |1|, |2|
|by-street|, |1|, |0|, |0|, |0|, |1|
|times|, |4|, |3|, |2|, |2|, |11|
|suddenly,|, |0|, |0|, |1|, |3|, |4|
|--|, |189|, |46|, |0|, |0|, |235|
|dead-white|, |1|, |1|, |1|, |1|, |4|
|sun-picture|, |1|, |1|, |0|, |0|, |2|
|nursing|, |1|, |0|, |1|, |0|, |2|
|_sourire|, |1|, |0|, |1|, |0|, |2|
|banker's.|, |0|, |0|, |1|, |1|, |2|
|"Yes|, |0|, |0|, |1|, |0|, |1|
|hands.|, |0|, |0|, |1|, |1|, |2|
|debts?"|, |0|, |0|, |0|, |1|, |1|
|told|, |11|, |12|, |11|, |12|, |46|
|serenely|, |1|, |1|, |1|, |1|, |4|
|me--such|, |0|, |0|, |1|, |0|, |1|
|"_Partie_,|, |0|, |0|, |1|, |0|, |1|
|perfectly|, |5|, |3|, |5|, |3|, |16|
|tearful|, |1|, |1|, |1|, |1|, |4|
|commented|, |1|, |0|, |0|, |0|, |1|
|269|, |1|, |0|, |0|, |0|, |1|
|sound|, |3|, |1|, |3|, |1|, |8|
|once?"|, |0|, |0|, |1|, |0|, |1|
|frame.|, |0|, |0|, |1|, |0|, |1|
|elapsed|, |1|, |2|, |0|, |1|, |4|
|rejoin,|, |0|, |0|, |0|, |1|, |1|
|intellectual|, |1|, |1|, |1|, |1|, |4|
|bust,|, |0|, |0|, |1|, |1|, |2|
|views|, |2|, |1|, |2|, |1|, |6|
|satisfaction|, |2|, |2|, |1|, |1|, |6|
|first!|, |0|, |0|, |1|, |0|, |1|
|appeal--the|, |0|, |0|, |1|, |0|, |1|
|take|, |7|, |7|, |7|, |7|, |28|
|(309)|, |0|, |0|, |1|, |0|, |1|
|on,|, |0|, |0|, |1|, |0|, |1|
|bouk"--his|, |0|, |0|, |1|, |0|, |1|
|moving,|, |0|, |0|, |1|, |1|, |2|
|freckles|, |1|, |1|, |0|, |0|, |2|
|path|, |3|, |3|, |2|, |1|, |9|
|'_fine_,'|, |0|, |0|, |1|, |0|, |1|
|first;|, |0|, |0|, |0|, |1|, |1|
|recommended|, |1|, |1|, |1|, |1|, |4|
|back.|, |0|, |0|, |2|, |4|, |6|
|hotel|, |4|, |4|, |2|, |2|, |12|
|where|, |19|, |14|, |14|, |11|, |58|
|reverses|, |1|, |0|, |0|, |0|, |1|
|beauty,|, |0|, |0|, |1|, |1|, |2|
|fascination,--a|, |0|, |0|, |0|, |1|, |1|
|four|, |3|, |2|, |3|, |2|, |10|
|near-sightedly,|, |0|, |0|, |1|, |0|, |1|
|308|, |1|, |0|, |0|, |0|, |1|
|leading|, |1|, |0|, |1|, |0|, |2|
|284|, |1|, |0|, |0|, |0|, |1|
|interfere,|, |0|, |0|, |1|, |1|, |2|
|remained|, |1|, |2|, |1|, |2|, |6|
|delight.|, |0|, |0|, |1|, |0|, |1|
|and|, |281|, |228|, |255|, |220|, |984|
|treat,|, |0|, |0|, |1|, |0|, |1|
|(277)|, |0|, |0|, |1|, |0|, |1|
|charming!"|, |0|, |0|, |1|, |1|, |2|
|seated|, |4|, |2|, |4|, |2|, |12|
|trust|, |1|, |0|, |1|, |0|, |2|
|breathless.|, |0|, |0|, |1|, |1|, |2|
|making|, |3|, |2|, |3|, |2|, |10|
|pastry-cook|, |1|, |0|, |0|, |0|, |1|
|294|, |1|, |0|, |0|, |0|, |1|
|composed.|, |0|, |0|, |1|, |1|, |2|
|can't,"|, |0|, |0|, |1|, |1|, |2|
|name,|, |0|, |0|, |0|, |1|, |1|
|charming."|, |0|, |0|, |0|, |1|, |1|
|Caliph|, |1|, |0|, |0|, |0|, |1|
|debts|, |1|, |2|, |1|, |1|, |5|
|visit|, |2|, |1|, |2|, |1|, |6|
|breathed|, |2|, |0|, |1|, |0|, |3|
|theatres|, |1|, |1|, |0|, |0|, |2|
|enchanting!"|, |0|, |0|, |1|, |1|, |2|
|_coffee|, |0|, |1|, |0|, |0|, |1|
|idea|, |2|, |2|, |1|, |2|, |7|
|landlady,|, |0|, |0|, |2|, |4|, |6|
|"so|, |0|, |0|, |1|, |0|, |1|
|motion|, |1|, |1|, |1|, |1|, |4|
|gesture.|, |0|, |0|, |0|, |1|, |1|
|ruche|, |1|, |1|, |0|, |0|, |2|
|verses|, |1|, |1|, |0|, |0|, |2|
|retreat|, |1|, |0|, |1|, |0|, |2|
|_a|, |1|, |1|, |1|, |1|, |4|
|face.|, |0|, |0|, |2|, |2|, |4|
|motionless|, |1|, |0|, |1|, |0|, |2|
|then!"|, |0|, |0|, |1|, |1|, |2|
|sombrero.|, |0|, |0|, |1|, |1|, |2|
|red.|, |0|, |0|, |1|, |0|, |1|
|holiday|, |1|, |1|, |0|, |0|, |2|
|shook|, |2|, |2|, |2|, |2|, |8|
|covers|, |1|, |1|, |0|, |0|, |2|
|require|, |1|, |0|, |1|, |0|, |2|
|Norman.|, |0|, |0|, |0|, |1|, |1|
|presently,|, |0|, |0|, |3|, |2|, |5|
|keep|, |2|, |1|, |2|, |1|, |6|
|bloom|, |1|, |1|, |1|, |1|, |4|
|aspect|, |0|, |1|, |0|, |0|, |1|
|love|, |4|, |2|, |3|, |2|, |11|
|stifle|, |1|, |0|, |0|, |0|, |1|
|excellent|, |0|, |1|, |0|, |1|, |2|
|turned|, |14|, |11|, |14|, |11|, |50|
|all!"|, |0|, |0|, |1|, |1|, |2|
|mystified|, |1|, |0|, |1|, |0|, |2|
|yearnings|, |1|, |0|, |1|, |0|, |2|
|"From|, |0|, |0|, |1|, |1|, |2|
|lovely.|, |0|, |0|, |1|, |0|, |1|
|everything,|, |0|, |0|, |1|, |0|, |1|
|grass-plot,|, |0|, |0|, |0|, |1|, |1|
|before--that|, |0|, |0|, |0|, |1|, |1|
|spirit;|, |0|, |0|, |1|, |0|, |1|
|read|, |4|, |4|, |4|, |4|, |16|
|umbrageous|, |0|, |1|, |0|, |1|, |2|
|wide.|, |0|, |0|, |1|, |1|, |2|
|Alcibiade!"|, |0|, |0|, |1|, |1|, |2|
|bedclothes.|, |0|, |0|, |1|, |0|, |1|
|holiday,|, |0|, |0|, |0|, |1|, |1|
|clear|, |4|, |2|, |4|, |2|, |12|
|gayly|, |0|, |1|, |0|, |0|, |1|
|much:|, |0|, |0|, |1|, |0|, |1|
|delicious."|, |0|, |0|, |0|, |1|, |1|
|To-day|, |1|, |1|, |0|, |0|, |2|
|Countess--he|, |0|, |0|, |1|, |0|, |1|
|Occasionally,|, |0|, |0|, |1|, |1|, |2|
|profile;|, |0|, |0|, |1|, |1|, |2|
|spirits|, |1|, |0|, |1|, |0|, |2|
|what's|, |0|, |0|, |1|, |0|, |1|
