Word, suny_c, gutenberg_c, suny_ws, gutenberg_ws, total
|delighted,"|, |0|, |0|, |1|, |1|, |2|
|italy!"|, |0|, |0|, |0|, |0|, |0|
|pastry-cook,|, |0|, |0|, |1|, |0|, |1|
|her--i|, |0|, |0|, |0|, |0|, |0|
|disabled|, |1|, |1|, |1|, |1|, |4|
|had.|, |0|, |0|, |0|, |1|, |1|
|satisfaction,|, |0|, |0|, |0|, |1|, |1|
|procure|, |0|, |1|, |0|, |1|, |2|
|275|, |1|, |0|, |0|, |0|, |1|
|arrival--i|, |0|, |0|, |0|, |0|, |0|
|open,|, |0|, |0|, |0|, |1|, |1|
|travelling|, |2|, |3|, |1|, |1|, |7|
|entertaining|, |0|, |2|, |0|, |0|, |2|
|hôtel|, |0|, |0|, |0|, |0|, |0|
|verses,|, |0|, |0|, |1|, |1|, |2|
|figured|, |1|, |0|, |1|, |0|, |2|
|sketched|, |1|, |0|, |1|, |0|, |2|
|pause|, |2|, |1|, |2|, |0|, |5|
|salutation|, |1|, |1|, |0|, |0|, |2|
|choice|, |1|, |1|, |1|, |1|, |4|
|donnees,|, |0|, |0|, |1|, |0|, |1|
|to."|, |0|, |0|, |2|, |2|, |4|
|do|, |43|, |32|, |16|, |11|, |102|
|beautiful|, |7|, |4|, |5|, |2|, |18|
|whither|, |0|, |0|, |0|, |0|, |0|
|business,|, |0|, |0|, |1|, |0|, |1|
|sea|, |1|, |0|, |1|, |0|, |2|
|journey|, |1|, |1|, |1|, |1|, |4|
|go.|, |0|, |0|, |1|, |1|, |2|
|ask|, |2|, |0|, |1|, |0|, |3|
|sun-picture|, |1|, |1|, |0|, |0|, |2|
|interested|, |2|, |2|, |1|, |1|, |6|
|enjoined|, |1|, |0|, |0|, |0|, |1|
|type.|, |0|, |0|, |0|, |1|, |1|
|two|, |11|, |11|, |11|, |11|, |44|
|in,|, |0|, |0|, |1|, |1|, |2|
|laughed,|, |0|, |0|, |1|, |0|, |1|
|directed|, |0|, |1|, |0|, |1|, |2|
|foreknown|, |1|, |0|, |1|, |0|, |2|
|figure|, |2|, |3|, |2|, |2|, |9|
|'honourably'?"|, |0|, |0|, |1|, |0|, |1|
|penetrate|, |1|, |0|, |0|, |0|, |1|
|not|, |25|, |53|, |23|, |50|, |151|
|great-aunt|, |1|, |0|, |0|, |0|, |1|
|photographs--at|, |0|, |0|, |1|, |0|, |1|
|queer,|, |0|, |0|, |0|, |1|, |1|
|understood|, |1|, |0|, |0|, |0|, |1|
|kinsman,|, |0|, |0|, |1|, |0|, |1|
|sympathetically.|, |0|, |0|, |1|, |1|, |2|
|close|, |1|, |3|, |1|, |3|, |8|
|gaped|, |1|, |0|, |1|, |0|, |2|
|importance|, |1|, |0|, |0|, |0|, |1|
|restoratively|, |1|, |0|, |0|, |0|, |1|
|timidly,|, |0|, |0|, |2|, |2|, |4|
|why--to|, |0|, |0|, |1|, |1|, |2|
|brim|, |1|, |0|, |0|, |0|, |1|
|quiet,|, |0|, |0|, |0|, |1|, |1|
|relative|, |2|, |0|, |1|, |0|, |3|
|"grande|, |0|, |0|, |1|, |0|, |1|
|fortune."|, |0|, |0|, |0|, |1|, |1|
|sortes_--and|, |0|, |0|, |1|, |0|, |1|
|badinage|, |0|, |1|, |0|, |0|, |1|
|voracious|, |1|, |0|, |1|, |0|, |2|
|flinched|, |1|, |1|, |0|, |0|, |2|
|eyes,|, |0|, |0|, |5|, |2|, |7|
|shall|, |7|, |12|, |7|, |12|, |38|
|am|, |3|, |24|, |2|, |24|, |53|
|fairy-tale."|, |0|, |0|, |1|, |0|, |1|
|idea|, |2|, |2|, |1|, |2|, |7|
|candour|, |2|, |0|, |1|, |0|, |3|
|quavered|, |2|, |0|, |0|, |0|, |2|
|youth|, |1|, |0|, |0|, |0|, |1|
|arrange|, |1|, |0|, |1|, |0|, |2|
|wealth|, |1|, |0|, |1|, |0|, |2|
|however|, |3|, |1|, |2|, |0|, |6|
|declared|, |2|, |0|, |1|, |0|, |3|
|"never|, |0|, |0|, |0|, |0|, |0|
|us,--peculiarities|, |0|, |0|, |0|, |1|, |1|
|sufferings|, |1|, |1|, |1|, |1|, |4|
|comedy|, |1|, |0|, |0|, |0|, |1|
|enchanting!"|, |0|, |0|, |1|, |1|, |2|
|companion.|, |0|, |0|, |0|, |1|, |1|
|affected,|, |0|, |0|, |1|, |1|, |2|
|not--!|, |0|, |0|, |1|, |0|, |1|
|encountered|, |2|, |2|, |2|, |2|, |8|
|poor|, |19|, |15|, |19|, |15|, |68|
|head|, |10|, |9|, |6|, |5|, |30|
|raised|, |3|, |2|, |3|, |2|, |10|
|were|, |28|, |29|, |24|, |29|, |110|
|subject|, |1|, |0|, |1|, |0|, |2|
|autumn|, |3|, |3|, |3|, |3|, |12|
|prodigious|, |1|, |0|, |1|, |0|, |2|
|dollar|, |1|, |0|, |1|, |0|, |2|
|throat|, |2|, |1|, |2|, |1|, |6|
|vessel|, |2|, |2|, |2|, |1|, |7|
|it--i|, |0|, |0|, |0|, |0|, |0|
|collection|, |1|, |0|, |0|, |0|, |1|
|swung|, |1|, |0|, |1|, |0|, |2|
|quarter|, |2|, |1|, |2|, |1|, |6|
|genoa,|, |0|, |0|, |0|, |0|, |0|
|sunny|, |2|, |2|, |2|, |1|, |7|
|now--so|, |0|, |0|, |1|, |0|, |1|
|hasn't,|, |0|, |0|, |1|, |0|, |1|
|pride.|, |0|, |0|, |1|, |0|, |1|
|again,|, |0|, |0|, |3|, |4|, |7|
|air|, |4|, |2|, |1|, |1|, |8|
|disposed|, |2|, |2|, |2|, |2|, |8|
|rich|, |1|, |1|, |1|, |0|, |3|
|away."|, |0|, |0|, |0|, |1|, |1|
|gesture.|, |0|, |0|, |0|, |1|, |1|
|carryall|, |0|, |2|, |0|, |1|, |3|
|voyage;|, |0|, |0|, |1|, |1|, |2|
|betise|, |1|, |0|, |1|, |0|, |2|
|yours?"|, |0|, |0|, |0|, |1|, |1|
